Symbol,Name,Market Cap,In S&P 500,Qtr - Next,Is Projected - Next,Is Announced - Next,Date - Next,Time - Next,Conf Call - Next,Expected Move - Next,Actual Move - Prev,Expected Move - Prev,Qtr - Prev,Date - Prev,Time - Prev,Conf Call - Prev,SEC Filing,Stock Type,Has Options
AAPL,Apple Inc.,1217170898944,True,Q2,False,True,4/30/2020,AMC,4/30/2020 5:00:00 PM,0.0751,0.0209,0.0475,Q1,1/28/2020,AMC,1/28/2020 5:00:00 PM,https://www.sec.gov/Archives/edgar/data/320193/000032019320000008/0000320193-20-000008-index.htm,Common,True
AAT,American Assets Trust Inc.,1567780096,False,Q1,False,True,4/28/2020,AMC,4/29/2020 11:00:00 AM,0.13,0.0026,0.0199,Q4,2/11/2020,AMC,2/12/2020 11:00:00 AM,https://www.sec.gov/Archives/edgar/data/1500217/000150021720000006/0001500217-20-000006-index.htm,REIT,True
AB,Alliancebernstein Holding LP  Units,1973613056,False,Q1,False,True,4/28/2020,BMO,4/28/2020 8:00:00 AM,0.1518,0.0043,0.0377,Q4,2/12/2020,BMO,2/12/2020 8:00:00 AM,https://www.sec.gov/Archives/edgar/data/825313/000082531320000012/0000825313-20-000012-index.htm,MLP,True
ABCB,Ameris Bancorp,1554800128,False,Q1,False,True,4/23/2020,AMC,4/24/2020 9:00:00 AM,0.1444,-0.029,0.0566,Q4,1/23/2020,AMC,1/24/2020 9:30:00 AM,,Common,True
ABMD,Abiomed Inc.,7553860608,True,Q4,False,True,4/30/2020,BMO,4/30/2020 8:00:00 AM,0.1529,0.0277,0.1032,Q3,2/6/2020,BMO,2/6/2020 8:00:00 AM,https://www.sec.gov/Archives/edgar/data/815094/000156459020003585/0001564590-20-003585-index.htm,Common,True
ABTX,Allegiance Bancshares Inc.,451659712,False,Q1,False,True,4/30/2020,BMO,4/30/2020 10:00:00 AM,0.1428,0.03,0.0524,Q4,1/29/2020,BMO,1/29/2020 10:00:00 AM,https://www.sec.gov/Archives/edgar/data/1642081/000156459020002372/0001564590-20-002372-index.htm,Common,True
ACA,Arcosa Inc. Common,1846675584,False,Q1,False,True,4/28/2020,AMC,4/29/2020 8:30:00 AM,0.1515,0.0791,0.1115,Q4,2/26/2020,AMC,2/27/2020 8:30:00 AM,,Common,True
ACBI,Atlantic Capital Bancshares Inc.,235041520,False,Q1,False,True,4/23/2020,AMC,4/24/2020 9:30:00 AM,,0.0667,,Q4,1/30/2020,AMC,1/31/2020 9:00:00 AM,,Common,False
ACNB,Acnb,212239392,False,,True,False,4/30/2020,,,,-0.0048,,Q4,1/28/2020,BMO,,,Common,False
ADM,Archer-Daniels Midland,19987050496,True,Q1,False,True,4/29/2020,AMC,4/30/2020 11:00:00 AM,0.0815,0.0485,0.0343,Q4,1/29/2020,AMC,1/30/2020 9:00:00 AM,https://www.sec.gov/Archives/edgar/data/7084/000000708420000002/0000007084-20-000002-index.htm,Common,True
ADP,Automatic Data Processing Inc.,60695973888,True,Q3,False,True,4/29/2020,BMO,4/29/2020 8:30:00 AM,0.0608,-0.0407,0.0303,Q2,1/29/2020,BMO,1/29/2020 8:30:00 AM,https://www.sec.gov/Archives/edgar/data/8670/000000867020000004/0000008670-20-000004-index.htm,Common,True
